"Release Date","Movie","Genre","ProductionBudget","DomesticBox Officeto Date","Trailer"
"January 1","Come to the Stable","","","$8,000,000",""
"","I Was a Male War Bride","","","$7,750,000",""
"","Neptune's Daughter","","","$3,450,000",""
"","On the Town","Musical","","$2,900,000",""
"","Sands of Iwo Jima","","$1,000,000","$7,800,000",""
"","She Wore a Yellow Ribbon","","$1,600,000","$5,400,000",""
"","Twelve O'Clock High","","","$6,450,000",""
"February 13","It Always Rains on Sunday","Drama","","$7,176",""
"July 29","In the Good Old Summertime","","","$3,400,000",""
"September 29","Pinky","","","$8,400,000",""
"October 5","The Adventures of Ichabod and Mr. Toad","Adventure","","$0",""
"October 31","Samson and Delilah","Drama","","$28,800,000",""
"November 15","The Fallen Idol","Thriller/Suspense","","$198,324",""
"December 12","Ladri di biciclette","Drama","","$361,712",""
"December 31","Canadian Pacific","Adventure","","$0",""
"","Little Women","","","$0",""
