"Release.Date","Movie","Genre","ProductionBudget","DomesticBox.Officeto.Date","Trailer","Year"
"February 8","The Birth of a Nation","Drama","$110,000","$10,000,000",NA,"1915"
"April 22","The Captive","Drama","","$0",NA,"1915"
"December 31","By the Shortest of Heads","","","$0",NA,"1915"
"September 5","Intolerance","","$385,907","$0",NA,"1916"
"December 24","20,000 Leagues Under the Sea","Adventure","$200,000","$8,000,000",NA,"1916"
"September 17","Over the Hill to the Poorhouse","","$100,000","$3,000,000",NA,"1920"
"December 31","The Cabinet of Dr. Caligari","Horror","","$0",NA,"1920"
"January 1","The Kid",NA,NA,"$2,500,000",NA,"1921"
"March 6","The Four Horsemen of the Apocalypse",NA,NA,"$9,200,000",NA,"1921"
"March 16","The Covered Wagon",NA,NA,"$3,800,000",NA,"1923"
"January 1","The Big Parade","Drama","$245,000","$11,000,000",NA,"1925"
"December 5","Bronyenosyets Potyomkin","","","$51,198",NA,"1925"
"December 30","Ben-Hur","Adventure","$3,900,000","$9,000,000",NA,"1925"
"December 31","Motherhood: Life’s Greatest Miracle","","","$0",NA,"1925"
"January 1","Alamo of the South Seas","Drama",NA,"$3,000,000",NA,"1926"
"March 6","Metropolis","Action","","$1,206,834",NA,"1927"
"August 12","Wings","","$2,000,000","$0",NA,"1927"
"October 6","The Jazz Singer","","","$3,000,000",NA,"1927"
"February 1","Shooting Stars","Western",NA,"$0",NA,"1928"
"July 28","The Lights of New York","",NA,"$1,200,000",NA,"1928"
"September 29","The Singing Fool","",NA,"$10,000,000",NA,"1928"
"February 1","The Broadway Melody","Musical","$379,000","$2,800,000",NA,"1929"
"February 17","Napoléon","Drama","","$2,645,504",NA,"1929"
"October 15","Diary of a Lost Girl","Drama","","$0",NA,"1929"
"January 1","Hell's Angels","","$4,000,000","$0",NA,"1930"
"April 21","All Quiet on the Western Front","Action","","$0",NA,"1930"
"December 5","Der Blaue Engel","Musical","","$77,982",NA,"1930"
"December 19","Tom Sawyer","","","$11,000,000",NA,"1930"
"December 31","Remote Control","Comedy","","$0",NA,"1930"
"January 30","City Lights","Comedy","","$18,165",NA,"1931"
"March 15","Ingagi","","","$4,000,000",NA,"1931"
"November 21","Frankenstein","Horror","","$12,000,000",NA,"1931"
"December 31","Mata Hari","","$558,000","$900,000",NA,"1931"
"December 31","The Most Dangerous Game",NA,NA,"$0",NA,"1932"
"","Red-Haired Alibi",NA,NA,"$0",NA,"1932"
"","Stolen Jools",NA,NA,"$0",NA,"1932"
"February 9","She Done Him Wrong","","$200,000","$2,000,000",NA,"1933"
"March 9","42nd Street","Musical","$439,000","$1,438,000",NA,"1933"
"April 7","King Kong","","$672,000","$10,000,000",NA,"1933"
"January 1","It Happened One Night","Romantic Comedy","$325,000","$2,500,000",NA,"1934"
"April 27","Viva Villa!","","","$1,100,000",NA,"1934"
"December 31","Boots! Boots!","","","$0",NA,"1934"
"September 6","Top Hat",NA,"$609,000","$1,782,000",NA,"1935"
"December 31","George Formby Cavalcade",NA,"","$0",NA,"1935"
"","No Limit",NA,"","$0",NA,"1935"
"","Off the Dole",NA,"","$0",NA,"1935"
"January 1","How to Become a Detective","","","$6,000,000",NA,"1936"
"February 5","Modern Times","Comedy","$1,500,000","$163,245",NA,"1936"
"March 23","The Great Ziegfeld","","","$3,000,000",NA,"1936"
"April 16","Mr. Deeds Goes To Town","","","$2,080,000",NA,"1936"
"June 26","San Francisco","","$1,300,000","$2,868,000",NA,"1936"
"October 20","Charge of the Light Brigade, The","Action","$1,200,000","$0",NA,"1936"
"December 31","Keep Your Seats Please","","","$0",NA,"1936"
"January 1","Maytime","","","$3,400,000",NA,"1937"
"","Waikiki Wedding","","","$3,000,000",NA,"1937"
"June 4","Parnell","","","$1,600,000",NA,"1937"
"June 13","Damaged Lives","","","$1,800,000",NA,"1937"
"October 22","Conquest","","","$2,100,000",NA,"1937"
"December 21","Snow White and the Seven Dwarfs","Musical","$1,488,000","$184,925,485",NA,"1937"
"December 31","Christmas Greetings of 1937","","","$0",NA,"1937"
"","Feather Your Nest","","","$0",NA,"1937"
"","Keep Fit","","","$0",NA,"1937"
"January 1","Alexander's Ragtime Band","Drama","$2,000,000","$4,000,000",NA,"1938"
"","Sweethearts","","","$3,000,000",NA,"1938"
"","You Can't Take It With You","","$1,644,000","$4,000,000",NA,"1938"
"September 12","Grand Illusion","","","$414,620",NA,"1938"
"December 23","Dawn Patrol, The","Drama","","$0",NA,"1938"
"December 31","Christmas Greetings of 1938","","","$0",NA,"1938"
"","I See Ice","","","$0",NA,"1938"
"","It's in the Air","","","$0",NA,"1938"
"January 1","Mr. Smith Goes To Washington","Drama","$1,500,000","$9,000,000",NA,"1939"
"March 29","The Story of Vernon and Irene Castle","","","$1,100,000",NA,"1939"
"August 25","The Wizard of Oz","Musical","$2,777,000","$33,711,566",NA,"1939"
"October 29","Le Quai des brumes","Drama","","$22,542",NA,"1939"
"November 3","Ninotchka","","","$1,200,000",NA,"1939"
"December 15","Gone with the Wind","Drama","$3,900,000","$198,680,470",NA,"1939"
"December 31","The Adventures of Sherlock Holmes","Thriller/Suspense","","$0",NA,"1939"
"","The Cisco Kid and the Lady","Western","","$0",NA,"1939"
"","Come On George!","","","$0",NA,"1939"
"","Hound of the Baskervilles","Drama","","$0",NA,"1939"
"","Mr. Wong in Chinatown","Thriller/Suspense","","$0",NA,"1939"
"","Trouble Brewing","","","$0",NA,"1939"
"January 1","Boom Town","","$2,000,000","$9,172,000",NA,"1940"
"","The Philadelphia Story","Romantic Comedy","","$3,000,000",NA,"1940"
"","Rebecca","Drama","$1,288,000","$6,000,000",NA,"1940"
"","Road to Singapore","Comedy","","$3,200,000",NA,"1940"
"February 9","Pinocchio","Adventure","","$84,300,000",NA,"1940"
"November 13","Fantasia","Musical","$2,280,000","$83,320,000",NA,"1940"
"December 31","The Door With Seven Locks","","","$0",NA,"1940"
"","The Gay Caballero","Western","","$0",NA,"1940"
"","Let George Do It!","","","$0",NA,"1940"
"","The Shop Around the Corner","Multiple Genres","","$0",NA,"1940"
"","Spare a Copper","","","$0",NA,"1940"
"January 1","Honky Tonk","","","$3,000,000",NA,"1941"
"","Suspicion","Thriller/Suspense","","$4,500,000",NA,"1941"
"","A Yank in the R.A.F.","","","$4,000,000",NA,"1941"
"January 31","Buck Privates","Comedy","","$4,000,000",NA,"1941"
"March 7","Tobacco Road","Drama","","$1,900,000",NA,"1941"
"May 1","Citizen Kane","Drama","","$1,000,000",NA,"1941"
"August 12","Dive Bomber","Drama","","$0",NA,"1941"
"September 27","Sergeant York","Drama","","$16,400,000",NA,"1941"
"October 18","The Maltese Falcon","Drama","","$0",NA,"1941"
"October 23","Dumbo","Adventure","","$0",NA,"1941"
"October 28","How Green Was My Valley","","$1,250,000","$0",NA,"1941"
"December 31","South American George","","","$0",NA,"1941"
"","Turned Out Nice Again","","","$0",NA,"1941"
"January 1","Once Upon a Honeymoon","","","$5,200,000",NA,"1942"
"","Tales of Manhattan","","","$5,200,000",NA,"1942"
"January 19","Woman of the Year","","","$6,000,000",NA,"1942"
"June 4","Mrs. Miniver","Drama","","$13,500,000",NA,"1942"
"June 6","Yankee Doodle Dandy","Multiple Genres","","$11,800,000",NA,"1942"
"August 13","Bambi","Drama","$858,000","$102,797,000",NA,"1942"
"November 16","Cat People","Drama","$134,000","$4,000,000",NA,"1942"
"November 20","For Me and My Gal","Multiple Genres","","$4,400,000",NA,"1942"
"November 25","Gentleman Jim","Drama","","$0",NA,"1942"
"December 25","Arabian Nights","Adventure","","$3,719",NA,"1942"
"December 31","Jane Eyre","Drama","","$0",NA,"1942"
"","Lassie Come Home","Multiple Genres","","$0",NA,"1942"
"","Much Too Shy","","","$0",NA,"1942"
"","There's One Born Every Minute","Drama","","$0",NA,"1942"
"January 1","Thousands Cheer","","","$3,500,000",NA,"1943"
"January 23","Casablanca","Drama","$1,039,000","$10,462,500",NA,"1943"
"February 6","Saludos Amigos","Adventure","","$0",NA,"1943"
"February 13","To The Shores of Tripoli","","","$2,300,000",NA,"1943"
"June 25","Jitterbugs","","","$1,100,000",NA,"1943"
"July 14","For Whom the Bell Tolls","Multiple Genres","","$17,800,000",NA,"1943"
"August 14","This is the Army","Musical","","$19,500,000",NA,"1943"
"November 26","Girl Crazy","Musical","","$3,800,000",NA,"1943"
"December 24","A Guy Named Joe","Drama","$2,627,000","$5,363,000",NA,"1943"
"December 25","The Song of Bernadette","Drama","","$12,500,000",NA,"1943"
"December 31","Bell Bottom George","","","$0",NA,"1943"
"","Get Cracking","","","$0",NA,"1943"
"January 1","Bathing Beauty","Musical","$2,361,000","$3,500,000",NA,"1944"
"","Two Girls and a Sailor","","","$3,500,000",NA,"1944"
"May 3","Going My Way","","","$16,300,000",NA,"1944"
"August 1","Wilson","","$5,200,000","$2,000,000",NA,"1944"
"November 28","Meet Me in St. Louis","","","$12,800,000",NA,"1944"
"December 31","Lifeboat","Thriller/Suspense","","$0",NA,"1944"
"","National Velvet","","","$0",NA,"1944"
"","Passage to Marseille","Adventure","","$0",NA,"1944"
"","To Have and Have Not","Adventure","","$0",NA,"1944"
"January 1","Anchors Aweigh","Musical","","$4,600,000",NA,"1945"
"","The Dolly Sisters","","","$10,000,000",NA,"1945"
"","The Lost Weekend","","$1,250,000","$11,000,000",NA,"1945"
"","State Fair","","","$10,000,000",NA,"1945"
"","Thrill of a Romance","","","$4,400,000",NA,"1945"
"","A Tree Grows in Brooklyn","","","$9,000,000",NA,"1945"
"","The Valley of Decision","","$2,160,000","$9,132,000",NA,"1945"
"January 3","Mom and Dad","","","$16,000,000",NA,"1945"
"February 3","The Three Caballeros","","","$0",NA,"1945"
"March 2","Dillinger","","","$4,000,000",NA,"1945"
"May 25","The Clock","","","$2,800,000",NA,"1945"
